gram_0,gram_1
answer,brother
whatever,traitor
ser,lancel
using,vile
brother,fell
thousands,good
slaughter,northmen
killing,would
mother,insists
meryn,lady
want,robb
going,speak
kind,knight
kind,serves
get,blood
someone,get
fight,brother
mad,king
uncle,jaime
one,threatens
threatening,king
bronn,next
apologize,nephew
want,end
loyal,king
lady,stark
little,king
clogged,balls
think,dipping
got,nothing
hurt,get
uncle,left
asked,see
look,inside
happy,nameday
want,get
grace,much
grace,uncle
oh,want
bring,chambers
well,favorite
pray,kept
tell,brother
secured,newest
like,lord
like,words
want,tent
loyalty,comes
still,many
many,believe
know,marching
take,throne
would,give
come,today
march,king
may,find
would,kind
took,weeks
twice,walked
moment,learn
king,snores
simply,prefers
pressures,command
four,kings
basic,arithmetic
mathematicians,would
notice,brother
place,kingsguard
seem,quite
marriage,quite
marriage,wealthy
unlucky,affections
though,perhaps
whole,notion
husband,king
tent,lord
desert,around
called,garden
every,time
kind,fire
sister,three
take,someone
may,heard
wanted,serve
begged,seize
repaid,faith
loved,since
seems,fate
want,see
sansa,beautiful
arya,wild
girls,healthy
know,queen
lannisters,trade
jaime,lannister
robb,never
think,keep
robb,surprised
may,get
token,tyrion
wants,understand
offered,good
husband,honorable
rest,beside
may,believe
told,stares
gold,silver
see,anyone
helped,ganes
helpful,stop
please,polliver
lady,stark
thought,lord
saw,standard
suppose,used
battle,would
king,taken
fiery,heart
ah,must
understand,found
never,really
charmless,rigid
kneel,lord
born,amidst
born,amidst
sons,mine
lock,bedchamber
strange,find
husband,supporter
lord,eddard
sit,beside
share,common
iron,throne
whole,realm
old,men
unborn,children
one,wants
never,wanted
man,without
sake,mother
give,one
grant,old
even,name
otherwise,shall
look,across
think,bolts
men,holding
shall,see
come,dawn
look,sins
night,dark
would,believe
heard,dothraki
daenerys,stormborn
lord,merely
call,mother
oh,name
quite,impossible
simply,trader
charged,governance
greatest,city
beauty,quarth
might,see
see,people
forgive,mother
man,alive
refuse,believe
ask,chance
opinion,matter
guests,treated
perhaps,return
let,us
shall,deeply
greatest,city
letting,dothraki
khaleesi,please
take,back
lay,waste
burn,cities
turn,us
said,moment
retreating,fear
unbecoming,greatest
discussion,xaro
girl,threatens
would,invite
expect,watch
without,breathing
believe,allow
gates,without
savage,summer
qarth,still
dragons,accordance
welcome,qarth
gold,silver
two,take
expecting,till
cells,overflowing
need,permanent
interrogate,em
well,manned
able,young
kneel,carve
one,girl
get,prisoners
need,new
grace,queen
commands,release
find,mulled
sister,concerned
would,thought
long,release
received,instructions
said,several
waited,long
queen,regent
cersei,must
queen,regent
often,works
must,glad
dusk,till
ah,lavender
always,loved
anointed,knight
tell,cersei
withdraw,filthy
ever,given
king,joffrey
finds,bedding
father,lord
told,obey
hated,every
high,place
sister,legs
oh,yes
lord,sister
leave,city
father,told
stay,close
pleasure,whenever
one,ever
long,keep
want,know
oh,rise
let,us
go,back
want,conflict
shall,nothing
oh,give
cersei,keep
could,swear
would,strictly
stay,within
knucklebones,bring
well,life
four,less
four,fewer
never,understood
good,act
lesson,tried
red,woman
trust,forgotten
lived,within
want,smuggler
one,must
true,grace
surely,ways
cleaner,ways
afraid,onion
night,dark
carried,unpleasant
good,man
say,parts
half,onion
man,good
champion,light
well,must
yet,known
like,ser
want,see
strange,lord
asks,work
shadows,live
brighter,flame
gods,protect
one,god
theme,music
sync,corrected
wolf,pup
north,ripe
take,ship
boy,could
man,honor
running,godswood
saw,something
wildlings,serve
want,know
take,back
one,girl
get,prisoners
need,new
give,one
otherwise,shall
look,sins
night,dark
vouch,people
welcome,qarth
trust,forgotten
bringing,ashore
one,must
font,color
sync,corrected
son,interest
see,reason
son,go
starks,dominion
provided,swears
ned,stark
cat,friendship
return,son
morning,destroy
baratheon,stark
common,enemy
done,many
two,houses
begging,reconsider
negotiate,peace
better,luck
please,bring
believe,natural
together,could
inside,king
need,go
arrives,renly
former,companions
selling,new
note,standing
ride,back
brienne,tarth
gained,king
put,sword
would,true
tell,ser
always,found
chance,put
cut,pieces
calling,king
renly,king
seem,implicate
say,one
still,others
negotiations,went
whomever,say
says,renly
would,give
littlefinger,says
say,father
stannis,baratheon
sooner,rather
like,sealing
yes,know
myrcella,sweet
schemes,plots
going,attack
king,taking
may,ask
may,specifically
king,royal
withhold,sensitive
lie,would
brother,sister
think,make
kill,less
tell,fucking
smart,money
perhaps,unnatural
alchemists,guild
suppose,one
thousands,pots
planning,launch
stannis,ships
heard,talking
lancel,lannister
even,torturing
oh,lancel
please,kill
please,kill
sorry,brother
wanted,let
fools,love
grieve,well
need,speak
thought,made
never,known
never,known
come,lecture
come,tell
brother,bannermen
except,tyrells
able,resist
soon,shall
nothing,worth
even,iron
take,company
sail,king
soon,consolidated
make,short
blackwater,bay
deliver,troops
bring,lady
take,king
never,thought
loyal,service
preaching,foreign
believe,whispers
set,king
lead,fleet
grace,honored
spent,evading
lords,consider
hard,truths
one,top
buy,fruit
mind,keep
well,never
sent,raven
repeatedly,humiliated
able,hold
way,joffrey
swollen,bloated
brother,fornicates
surprised,fruit
yes,rotten
hard,argue
king,lost
rest,us
dancing,king
tune,twisted
people,think
blame,city
crew,sea
captain,commands
stony,shore
decides,done
since,left
reckon,got
reckon,got
thinking,job
know,could
take,ship
hunt,drag
congratulations,first
way,red
got,30
want,set
would,never
crew,would
enjoy,stony
dagmer,first
send,row
would,good
gon,na
supposed,prove
piss,poor
yet,task
prove,true
stony,shore
seat,house
impressive,prize
think,could
could,never
soon,winterfell
starks,would
starks,overextended
summer,hard
keeping,men
starks,understand
spies,report
want,return
gather,harvest
sure,spies
would,report
war,one
underestimated,stark
good,mind
long,keeps
keep,believing
worked,night
perhaps,profit
think,would
might,even
go,sure
well,better
go,change
scrubbing,pots
think,maidenpool
two,crossed
say,robb
call,young
say,rides
say,turn
girl,says
girl,keeps
friends,may
boy,becomes
girl,keeps
fetch,water
man,pays
man,owes
red,god
death,may
stole,three
speak,three
three,lives
one,tortures
man,needs
seen,us
halfhand,things
uncle,told
heard,halfhand
north,skirling
possible,someone
well,possible
gilly,would
nothing,sickening
least,keep
fist,first
think,old
targaryens,defeated
andals,took
die,please
thousands,thousands
first,men
think,like
smart,people
think,came
one,blast
wildlings,two
got,stand
one,blast
three,white
1,000
time,blow
1,000
well,read
aye,live
take,care
remember,reading
piss,wildfire
oh,conducted
could,well
substance,burns
melts,wood
substance,burns
dragons,died
companion,takes
could,tell
seen,pushing
making,grand
substance,fire
perfecting,since
jars,put
could,get
maybe,hit
real,soldiers
lord,man
know,ever
things,get
cause,flinging
flinging,right
men,die
means,pots
means,fire
means,poor
friend,remains
would,dare
whilst,aerys
well,living
pots,wildfire
men,win
working,tirelessly
ever,since
present,count
enough,burn
afraid,concur
contents,room
making,wildfire
let,sleep
see,dress
say,wealthiest
qarth,wealthiest
last,time
selling,khal
xaro,host
men,like
would,look
must,visit
qartheen,night
meereens,think
please,excuse
malakko,says
kovarro,says
pry,gems
brother,used
steal,things
quite,good
kind,queen
behalf,warlocks
look,closely
grow,tired
would,honor
pyat,pree
customary,extend
customs,die
warlocks,go
drink,shade
turns,lips
soft,actually
parlor,tricks
jorah,mormont
needs,true
shall,come
see,wonder
see,shall
dragons,fire
looked,like
shadow,shape
reach,son
stay,long
long,enough
two,youngest
away,far
never,knew
mother,died
comes,even
safely,back
give,leave
mean,kill
stannis,great
guards,sworn
renly,death
serve,nothing
renly,enemies
know,son
could,serve
battle,courage
woman,kind
think,time
promise,hold
time,comes
give,life
swear,old
vow,shall
shall,ask
might,bring
swear,old
come,night
three,sons
fight,keep
till,told
one,man
keep,watch
send,two
help,watch
give,room
wife,always
may,gods
everyone,going
torrhen,square
torrhen,square
lannisters,strike
might,raiding
might,sellswords
fighting,men
gather,200
go,ser
take,long
ask,maester
one,studying
must,mean
might,little
give,honest
dreaming,three
godswood,told
dreamt,sea
saw,waves
water,came
drowned,men
ser,rodrik
sea,hundreds
got,get
otherwise,put
three,eyed
say,sorts
people,sitting
see,us
gives,mance
many,wildlings
mance,gathered
almost,ready
wait,nothing
stones,protect
saying,fall
mance,one
gon,na
hit,us
run,away
gon,na
sneak,kill
need,get
job,400
need,move
harker,stonesnake
lord,commander
called,lots
might,first
steward,snow
fought,killed
many,rangers
also,let
beat,bloody
boy,defense
could,take
well,hope
long,manservant
almost,always
cross,narrow
promised,khalasar
find,safe
want,conquer
want,mine
iron,throne
hit,docks
except,someone
want,xaro
gates,city
door,vault
hardest,steel
offered,greatest
weight,gold
made,offer
went,home
thing,open
let,us
enough,buy
enough,go
already,married
mother,father
marry,give
children,princes
time,right
robert,baratheon
cross,sea
seven,kingdoms
four,false
win,westeros
starks,fight
according,new
earned,trust
spend,rest
rich,men
give,ships
moving,carefully
outside,gates
know,opportunity
speak,like
see,iron
may,cover
would,respected
someone,rule
centuries,come
still,believe
allies,need
sound,ship
look,forward
stand,back
sync,corrected
really,think
dorne,safest
behalf,warlocks
would,honor
renly,bannermen
calling,king
renly,king
need,get
need,move
lord,commander
going,kill
gods,give
first,win
stole,three
speak,three
kill,man
one,tortures
stony,shore
impressive,prize
soon,winterfell
starks,would
lord,stark
torrhen,square
go,ser
sea,came
drowned,men
ser,rodrik
theme,music
font,color
sync,corrected
subtitles,downloaded
sent,men
men,bringing
yield,keep
good,lord
think,carefully
hate,us
yielded,winterfell
say,prince
yielded,winterfell
aye,know
listen,little
father,donned
declared,king
claims,north
think,hold
serve,loyally
maester,luwin
informing,father
one,deepwood
inform,bring
sworn,serve
