season,episode,line_number,start_time,end_time,lines
2,1,176,"00:11:03,319","00:11:06,722","generally falls
to the lord of that Holdfast.
"
2,1,177,"00:11:06,757","00:11:08,224","Generally, yes,
"
2,1,178,"00:11:08,258","00:11:09,925","but I've sent
all the young men off
"
2,1,179,"00:11:09,959","00:11:11,861","to fight
Robb Stark's war.
"
2,1,180,"00:11:11,895","00:11:14,997","King Robb.
And it's not his war.
"
2,1,181,"00:11:15,031","00:11:16,932","He didn't choose it.
"
2,1,182,"00:11:16,966","00:11:18,400","Maybe not, My Lord,
"
2,1,183,"00:11:18,434","00:11:20,535","but he called in his Banners
and took the men.
"
2,1,184,"00:11:20,569","00:11:22,303","Bran:
<i>Joffrey killed my father,</i>
"
2,1,185,"00:11:22,337","00:11:24,772","your liege lord.
"
2,1,186,"00:11:24,806","00:11:27,274","Do you remember
your vows, Ser?
"
2,1,187,"00:11:27,308","00:11:29,176","Of course I remember!
"
2,1,188,"00:11:29,210","00:11:32,279","We can spare four masons
for a week, My Lord.
"
2,1,189,"00:11:32,313","00:11:35,349","Will that be sufficient
to repair your walls?
"
2,1,190,"00:11:35,383","00:11:37,685","I-- I believe it will.
"
2,1,191,"00:11:43,626","00:11:45,995","We didn't want him here
all day, did we?
"
2,1,192,"00:11:47,264","00:11:50,299","I didn't like the way
he was talking about Robb.
"
2,1,193,"00:11:50,334","00:11:52,134","Nor did I.
"
2,1,194,"00:11:54,404","00:11:57,272","But listening to people
you'd rather not listen to
"
2,1,195,"00:11:57,307","00:12:01,377","is one of your responsibilities
as Lord of Winterfell.
"
2,1,196,"00:12:01,411","00:12:03,245","( Sighs )
"
2,1,197,"00:12:04,280","00:12:06,548","Luwin:
<i>Lord Portan.</i>
"
2,1,198,"00:12:06,582","00:12:09,617","<i>My Lord, may the Old Gods</i>
<i>watch over your brother</i>
"
2,1,199,"00:12:09,651","00:12:11,385","<i>and all our northern sons.</i>
"
2,1,200,"00:12:11,420","00:12:14,555","<i>( Heavy breathing )</i>
"
2,1,201,"00:12:20,395","00:12:24,231","- <i>( Wings flapping )</i>
- <i>( Bird squawking )</i>
"
2,1,202,"00:13:00,337","00:13:04,775","Boil this for an hour
and drink the tea.
"
2,1,203,"00:13:04,809","00:13:07,312","Makes all your pain
go away.
"
2,1,204,"00:13:07,346","00:13:09,981","Bran:
Don't have any pain.
"
2,1,205,"00:13:10,015","00:13:11,615","Lucky for you.
"
2,1,206,"00:13:12,684","00:13:14,518","That way.
"
2,1,207,"00:13:17,255","00:13:19,490","You've been having
those dreams again.
"
2,1,208,"00:13:19,524","00:13:21,358","Bran:
<i>I don't dream.</i>
"
2,1,209,"00:13:21,392","00:13:22,926","Everyone dreams.
"
2,1,210,"00:13:22,960","00:13:25,895","I don't.
"
2,1,211,"00:13:25,929","00:13:27,997","Heard some of the men
talking about the comet.
"
2,1,212,"00:13:28,031","00:13:30,166","<i>They say it's an omen.</i>
"
2,1,213,"00:13:30,200","00:13:33,870","They say it means Robb will win
a great victory in the South.
"
2,1,214,"00:13:33,904","00:13:35,505","Did they?
"
2,1,215,"00:13:37,274","00:13:40,844","Osha: I heard some other fools
say it's Lannister Red.
"
2,1,216,"00:13:40,879","00:13:44,248","Means the Lannisters will rule
all Seven Kingdoms before long.
"
2,1,217,"00:13:44,282","00:13:47,685","Heard a stableboy say
it's the color of blood
"
2,1,218,"00:13:47,719","00:13:50,088","to mark the death
of your father.
"
2,1,219,"00:13:53,926","00:13:57,161","The stars
don't fall for men.
"
2,1,220,"00:13:57,195","00:13:59,763","The red comet means
one thing, boy--
"
2,1,221,"00:14:00,898","00:14:02,499","dragons.
"
2,1,222,"00:14:04,335","00:14:07,069","The dragons are all dead.
"
2,1,223,"00:14:07,104","00:14:09,572","They've been dead
for centuries.
"
2,1,224,"00:14:42,440","00:14:44,841","( Shrieks )
"
2,1,225,"00:14:46,110","00:14:47,878","Mmm.
"
2,1,226,"00:14:47,912","00:14:50,847","Mmm. Mmm.
"
2,1,227,"00:14:52,950","00:14:55,585","What did your brother say
about them, Khaleesi?
"
2,1,228,"00:14:55,619","00:14:57,287","He said they ate meat.
"
2,1,229,"00:14:57,322","00:15:01,024","He didn't tell you
what kind of meat?
"
2,1,230,"00:15:01,058","00:15:03,960","My brother didn't know
anything about dragons.
"
2,1,231,"00:15:03,994","00:15:07,129","He didn't know anything
about anything.
"
2,1,232,"00:15:12,069","00:15:14,604","Eh.
"
2,1,233,"00:15:16,340","00:15:19,476","( Whinnies )
"
2,1,234,"00:15:20,645","00:15:23,147","<i>( Women murmuring )</i>
"
2,1,235,"00:15:40,933","00:15:43,001","She was Drogo's
first gift to me.
"
2,1,236,"00:15:43,035","00:15:46,037","I remember.
"
2,1,237,"00:15:47,906","00:15:50,542","I promised
to protect them.
"
2,1,238,"00:15:50,576","00:15:52,910","Promised them their enemies
would die screaming.
"
2,1,239,"00:15:52,945","00:15:55,446","How do I make
starvation scream?
"
2,1,240,"00:15:55,481","00:15:58,483","A trick I never learned,
I'm afraid.
"
2,1,241,"00:16:00,319","00:16:02,386","Does it ever end?
"
2,1,242,"00:16:02,421","00:16:04,388","This is farther east
than I've ever been.
"
2,1,243,"00:16:04,422","00:16:05,956","But, yes, Khaleesi,
"
2,1,244,"00:16:05,991","00:16:07,458","everything ends,
even the red waste.
"
2,1,245,"00:16:07,492","00:16:10,060","And you're sure
there's no other way?
"
2,1,246,"00:16:10,095","00:16:12,830","If we go south to the land
of the Lazarheen,
"
2,1,247,"00:16:12,864","00:16:15,332","the Lamb Men will kill us
and take your dragons.
"
2,1,248,"00:16:15,367","00:16:17,267","If we go west
to the Dothraki Sea,
"
2,1,249,"00:16:17,302","00:16:19,336","the first
Khalasar we meet
"
2,1,250,"00:16:19,370","00:16:20,904","will kill us
and take your dragons.
"
2,1,251,"00:16:20,938","00:16:23,607","No one will take
my dragons.
"
2,1,252,"00:16:24,776","00:16:27,478","They are too weak to fight,
"
2,1,253,"00:16:27,512","00:16:29,513","as are your people.
"
2,1,254,"00:16:29,547","00:16:31,883","You must be
their strength.
"
2,1,255,"00:16:32,818","00:16:34,953","As you are mine.
"
2,1,256,"00:16:38,457","00:16:41,093","( Speaks Dothraki )
"
2,1,257,"00:16:46,834","00:16:49,402","( Speaking Dothraki )
"
2,1,258,"00:17:11,256","00:17:13,624","( Speaks Dothraki )
"
2,1,259,"00:17:21,933","00:17:24,869","Rakharo...
"
2,1,260,"00:17:31,377","00:17:34,146","You never have.
"
2,1,261,"00:17:38,984","00:17:42,820","This is bad time to start.
"
2,1,262,"00:17:55,768","00:17:58,570","<i>( Horse whinnies )</i>
"
2,1,263,"00:18:22,128","00:18:25,163","<i>( Wind howling )</i>
"
2,1,264,"00:18:26,766","00:18:28,934","<i>( Thunder rumbling )</i>
"
2,1,265,"00:18:37,243","00:18:38,877","<i>( Bird caws )</i>
"
2,1,266,"00:18:38,912","00:18:40,880","Having a rough time of it?
"
2,1,267,"00:18:40,914","00:18:42,481","Nothing's killed me yet.
"
2,1,268,"00:18:42,516","00:18:45,084","- Grenn: Your ass killed the sledge.
- You offered me a ride.
"
2,1,269,"00:18:45,119","00:18:48,354","I just wanted you to shut up about
your damn blisters.
"
2,1,270,"00:19:02,368","00:19:05,170","I was born in a place
like this.
"
2,1,271,"00:19:05,205","00:19:08,340","Later, I fell
on hard times.
"
2,1,272,"00:19:09,976","00:19:11,743","Samwell:
<i>Are those girls?</i>
"
2,1,273,"00:19:11,777","00:19:13,578","Dolorous Edd:
<i>Craster's daughters.</i>
"
2,1,274,"00:19:13,613","00:19:17,349","I haven't seen a girl
in six months.
"
2,1,275,"00:19:17,383","00:19:19,318","I'd keep on not seeing them
if I were you.
"
2,1,276,"00:19:19,352","00:19:22,754","What, he don't like people messing
with his daughters?
"
2,1,277,"00:19:22,789","00:19:25,591","He don't like people
messing with his wives.
"
2,1,278,"00:19:26,960","00:19:29,194","He marries
his daughters,
"
2,1,279,"00:19:29,229","00:19:31,564","<i>and they give him</i>
<i>more daughters.</i>
"
2,1,280,"00:19:31,598","00:19:33,799","And on and on it goes.
"
2,1,281,"00:19:33,834","00:19:36,268","- That's foul.
- It's beyond foul.
"
2,1,282,"00:19:36,302","00:19:40,206","All the other wildlings for a
hundred leagues have disappeared.
"
2,1,283,"00:19:40,240","00:19:42,207","Craster's still here.
"
2,1,284,"00:19:42,242","00:19:44,877","He must be doing
something right.
"
2,1,285,"00:19:46,513","00:19:48,214","What happens
to the boys?
"
2,1,286,"00:19:48,248","00:19:51,283","- Hmm?
- <i>He marries his daughters.</i>
"
